dataset,model,label,score,positives,negatives,auroc_directional,auprc,run
MoNuSeg,prototype_seed42,high_error_ge_q0.75,boundary_risk_score,42,126,0.581254724111867,0.4472456695410606,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_error_ge_q0.75,boundary_overconfidence_score,42,126,0.5105820105820106,0.29558979565603,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_error_ge_q0.75,boundary_abnormality_score,42,126,0.6101662887377174,0.3982004784061416,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_error_ge_q0.75,boundary_dual_risk_score,42,126,0.6726190476190476,0.4350855157427082,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_error_ge_q0.75,uncertainty_cluster_score,42,126,0.7054043839758126,0.5010857303489581,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_error_ge_q0.75,topology_risk_score,42,126,0.80489417989418,0.6428263760330727,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_error_ge_q0.75,sfrm_composite_score,42,126,0.7828798185941043,0.5596875243186819,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_error_ge_q0.75,sfrm_balanced_score,42,126,0.8134920634920636,0.640861727251517,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_boundary_error_ge_q0.75,global_mean_entropy,42,126,0.8747165532879819,0.6757999810147207,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_boundary_error_ge_q0.75,global_max_entropy,42,126,0.7911942554799698,0.1612703418383536,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_boundary_error_ge_q0.75,global_mean_margin_uncertainty,42,126,0.9168556311413454,0.807482513387592,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_boundary_error_ge_q0.75,foreground_area_frac,42,126,0.8297430083144368,0.7938634957294664,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_boundary_error_ge_q0.75,boundary_risk_score,42,126,0.5205971277399848,0.3090001711427923,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_boundary_error_ge_q0.75,boundary_overconfidence_score,42,126,0.6474867724867724,0.3588170611161991,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_boundary_error_ge_q0.75,boundary_abnormality_score,42,126,0.517384731670446,0.2490472201878301,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_boundary_error_ge_q0.75,boundary_dual_risk_score,42,126,0.6000566893424036,0.2912966130150928,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_boundary_error_ge_q0.75,uncertainty_cluster_score,42,126,0.842687074829932,0.6862653769802479,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_boundary_error_ge_q0.75,topology_risk_score,42,126,0.8886999244142101,0.781486438070063,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_boundary_error_ge_q0.75,sfrm_composite_score,42,126,0.8613945578231292,0.6668612104291958,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_boundary_error_ge_q0.75,sfrm_balanced_score,42,126,0.9038170823885108,0.7956010540060758,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_boundary_ge_q0.75,global_mean_entropy,42,126,0.5137944066515495,0.2934308949993954,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_boundary_ge_q0.75,global_max_entropy,42,126,0.6479591836734694,0.4769463192191045,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_boundary_ge_q0.75,global_mean_margin_uncertainty,42,126,0.522108843537415,0.3220817316771805,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_boundary_ge_q0.75,foreground_area_frac,42,126,0.5445956160241874,0.3536758445697348,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_boundary_ge_q0.75,boundary_risk_score,42,126,0.7072940287226002,0.1764972374755216,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_boundary_ge_q0.75,boundary_overconfidence_score,42,126,0.6863189720332578,0.4559399094792946,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_boundary_ge_q0.75,boundary_abnormality_score,42,126,0.5281557067271353,0.2236883087103202,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_boundary_ge_q0.75,boundary_dual_risk_score,42,126,0.5008503401360545,0.2447882621024024,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_boundary_ge_q0.75,uncertainty_cluster_score,42,126,0.611583522297808,0.3466673901645098,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_boundary_ge_q0.75,topology_risk_score,42,126,0.5901360544217686,0.2956588141465683,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_boundary_ge_q0.75,sfrm_composite_score,42,126,0.5554610733182161,0.2583854047849669,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_boundary_ge_q0.75,sfrm_balanced_score,42,126,0.5188964474678761,0.3366876597718548,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_uncertainty_ge_q0.75,global_mean_entropy,42,126,0.6740362811791384,0.3934176283850911,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_uncertainty_ge_q0.75,global_max_entropy,42,126,0.7603930461073318,0.1654239961725511,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_uncertainty_ge_q0.75,global_mean_margin_uncertainty,42,126,0.6829176114890402,0.415315003488418,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_uncertainty_ge_q0.75,foreground_area_frac,42,126,0.638888888888889,0.489585037821361,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_uncertainty_ge_q0.75,boundary_risk_score,42,126,0.5980725623582767,0.4517718823882959,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_uncertainty_ge_q0.75,boundary_overconfidence_score,42,126,0.5276832955404384,0.2443880553096679,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_uncertainty_ge_q0.75,boundary_abnormality_score,42,126,0.5495086923658352,0.350168861836873,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_uncertainty_ge_q0.75,boundary_dual_risk_score,42,126,0.600151171579743,0.3579328448738673,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_uncertainty_ge_q0.75,uncertainty_cluster_score,42,126,0.5852229780801209,0.3838084738011227,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_uncertainty_ge_q0.75,topology_risk_score,42,126,0.7292139077853363,0.46969660612553,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_uncertainty_ge_q0.75,sfrm_composite_score,42,126,0.6819727891156462,0.4690798746537752,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_lecr_uncertainty_ge_q0.75,sfrm_balanced_score,42,126,0.6902872260015117,0.460767992601908,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,gray_high_dice_high_boundary_error,global_mean_entropy,20,148,0.9003378378378378,0.5389282816516688,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,gray_high_dice_high_boundary_error,global_max_entropy,20,148,0.7476351351351351,0.0805146962451585,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,gray_high_dice_high_boundary_error,global_mean_margin_uncertainty,20,148,0.9675675675675676,0.8141169326444762,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,gray_high_dice_high_boundary_error,foreground_area_frac,20,148,0.960472972972973,0.8621056538174358,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,gray_high_dice_high_boundary_error,boundary_risk_score,20,148,0.6819256756756757,0.0871576296518734,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,gray_high_dice_high_boundary_error,boundary_overconfidence_score,20,148,0.8155405405405405,0.2814394156915568,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,gray_high_dice_high_boundary_error,boundary_abnormality_score,20,148,0.5427364864864864,0.1052630329111329,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,gray_high_dice_high_boundary_error,boundary_dual_risk_score,20,148,0.6125,0.1444114599550132,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,gray_high_dice_high_boundary_error,uncertainty_cluster_score,20,148,0.9116554054054056,0.6298808662153963,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,gray_high_dice_high_boundary_error,topology_risk_score,20,148,0.9135135135135136,0.7855614373549157,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,gray_high_dice_high_boundary_error,sfrm_composite_score,20,148,0.8670608108108109,0.4504007031263373,stage1_review_budget_monuseg_proto_seed42
