dataset,model,label,score,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction
monuseg,prototype_seed42,low_boundary_dice_le_q25,foreground_area_frac,168,0.1,17,42,0,0.0,0.0,0.0,0.2781456953642384,-0.11258278145695355
monuseg,prototype_seed42,low_boundary_dice_le_q25,foreground_area_frac,168,0.2,34,42,0,0.0,0.0,0.0,0.31343283582089554,-0.25373134328358216
monuseg,prototype_seed42,low_boundary_dice_le_q25,foreground_area_frac,168,0.3,51,42,1,0.023809523809523808,0.0196078431372549,0.07936507936507936,0.3504273504273504,-0.4017094017094016
monuseg,prototype_seed42,low_boundary_dice_le_q25,boundary_risk_score,168,0.05,9,42,9,0.21428571428571427,1.0,4.285714285714286,0.20754716981132076,0.16981132075471694
monuseg,prototype_seed42,low_boundary_dice_le_q25,boundary_risk_score,168,0.1,17,42,17,0.40476190476190477,1.0,4.0476190476190474,0.16556291390728478,0.3377483443708609
monuseg,prototype_seed42,low_boundary_dice_le_q25,boundary_risk_score,168,0.2,34,42,26,0.6190476190476191,0.7647058823529411,3.0952380952380953,0.11940298507462686,0.5223880597014925
monuseg,prototype_seed42,low_boundary_dice_le_q25,boundary_risk_score,168,0.3,51,42,32,0.7619047619047619,0.6274509803921569,2.5396825396825395,0.08547008547008547,0.6581196581196581
monuseg,prototype_seed42,low_boundary_dice_le_q25,boundary_overconfidence_score,168,0.05,9,42,0,0.0,0.0,0.0,0.2641509433962264,-0.05660377358490565
monuseg,prototype_seed42,low_boundary_dice_le_q25,boundary_overconfidence_score,168,0.1,17,42,0,0.0,0.0,0.0,0.2781456953642384,-0.11258278145695355
monuseg,prototype_seed42,low_boundary_dice_le_q25,boundary_overconfidence_score,168,0.2,34,42,0,0.0,0.0,0.0,0.31343283582089554,-0.25373134328358216
monuseg,prototype_seed42,low_boundary_dice_le_q25,boundary_overconfidence_score,168,0.3,51,42,0,0.0,0.0,0.0,0.358974358974359,-0.4358974358974359
monuseg,prototype_seed42,low_boundary_dice_le_q25,boundary_abnormality_score,168,0.05,9,42,9,0.21428571428571427,1.0,4.285714285714286,0.20754716981132076,0.16981132075471694
monuseg,prototype_seed42,low_boundary_dice_le_q25,boundary_abnormality_score,168,0.1,17,42,17,0.40476190476190477,1.0,4.0476190476190474,0.16556291390728478,0.3377483443708609
monuseg,prototype_seed42,low_boundary_dice_le_q25,boundary_abnormality_score,168,0.2,34,42,29,0.6904761904761905,0.8529411764705882,3.452380952380952,0.09701492537313433,0.6119402985074627
monuseg,prototype_seed42,low_boundary_dice_le_q25,boundary_abnormality_score,168,0.3,51,42,33,0.7857142857142857,0.6470588235294118,2.619047619047619,0.07692307692307693,0.6923076923076923
monuseg,prototype_seed42,low_boundary_dice_le_q25,boundary_dual_risk_score,168,0.05,9,42,9,0.21428571428571427,1.0,4.285714285714286,0.20754716981132076,0.16981132075471694
monuseg,prototype_seed42,low_boundary_dice_le_q25,boundary_dual_risk_score,168,0.1,17,42,13,0.30952380952380953,0.7647058823529411,3.0952380952380953,0.19205298013245034,0.23178807947019864
monuseg,prototype_seed42,low_boundary_dice_le_q25,boundary_dual_risk_score,168,0.2,34,42,18,0.42857142857142855,0.5294117647058824,2.142857142857143,0.1791044776119403,0.28358208955223885
monuseg,prototype_seed42,low_boundary_dice_le_q25,boundary_dual_risk_score,168,0.3,51,42,22,0.5238095238095238,0.43137254901960786,1.7460317460317463,0.17094017094017094,0.3162393162393162
monuseg,prototype_seed42,low_boundary_dice_le_q25,uncertainty_cluster_score,168,0.05,9,42,0,0.0,0.0,0.0,0.2641509433962264,-0.05660377358490565
monuseg,prototype_seed42,low_boundary_dice_le_q25,uncertainty_cluster_score,168,0.1,17,42,1,0.023809523809523808,0.058823529411764705,0.23809523809523808,0.271523178807947,-0.08609271523178808
monuseg,prototype_seed42,low_boundary_dice_le_q25,uncertainty_cluster_score,168,0.2,34,42,4,0.09523809523809523,0.11764705882352941,0.47619047619047616,0.2835820895522388,-0.13432835820895517
monuseg,prototype_seed42,low_boundary_dice_le_q25,uncertainty_cluster_score,168,0.3,51,42,5,0.11904761904761904,0.09803921568627451,0.3968253968253968,0.3162393162393162,-0.2649572649572649
monuseg,prototype_seed42,low_boundary_dice_le_q25,topology_risk_score,168,0.05,9,42,0,0.0,0.0,0.0,0.2641509433962264,-0.05660377358490565
monuseg,prototype_seed42,low_boundary_dice_le_q25,topology_risk_score,168,0.1,17,42,0,0.0,0.0,0.0,0.2781456953642384,-0.11258278145695355
monuseg,prototype_seed42,low_boundary_dice_le_q25,topology_risk_score,168,0.2,34,42,1,0.023809523809523808,0.029411764705882353,0.11904761904761904,0.30597014925373134,-0.22388059701492535
monuseg,prototype_seed42,low_boundary_dice_le_q25,topology_risk_score,168,0.3,51,42,5,0.11904761904761904,0.09803921568627451,0.3968253968253968,0.3162393162393162,-0.2649572649572649
monuseg,prototype_seed42,low_boundary_dice_le_q25,sfrm_composite_score,168,0.05,9,42,1,0.023809523809523808,0.1111111111111111,0.47619047619047616,0.2578616352201258,-0.03144654088050314
