dataset,variant,patch_id,baseline_dice,dice,boundary_dice,aji,pq,confounder_fpr
consep,full,train_3_y256_x0,0.7394485998980924,0.7351795084955183,0.561014956389793,0.26218112663125454,0.12480092084529862,0.6433062130177515
consep,full,train_3_y256_x128,0.7044396931212915,0.7115212493450463,0.5356053698885919,0.41489082969432317,0.2091133098219814,0.6357548701298701
consep,full,train_3_y256_x256,0.7190638372202746,0.7427204536065716,0.5962994376917152,0.45492824611154076,0.2898932438621757,0.5456133540372671
consep,full,train_3_y256_x384,0.7498333703628365,0.7856503215658038,0.6351137456949346,0.39708837244569134,0.2966005287707744,0.5124820402298851
consep,full,train_3_y256_x512,0.7781015452545162,0.7968171216907757,0.6414272181886914,0.42848743777681964,0.32442494860877596,0.5559315286624203
consep,full,train_3_y256_x640,0.7513540748212894,0.8020406408535093,0.6436647307479856,0.49228005645609685,0.3491260190665689,0.5546875
consep,full,train_3_y384_x0,0.7001108237912814,0.6871435494103435,0.5440781440797346,0.3060856864654333,0.1951536392754854,0.4914607558139535
consep,full,train_3_y384_x128,0.6438760214707032,0.6522708936469448,0.458576036203444,0.32106583072100314,0.24874522951271963,0.47173187022900764
consep,full,train_3_y384_x256,0.7139525845327869,0.7262604154677792,0.5395139360998491,0.3771350007931891,0.2590386953725571,0.5629370629370629
consep,full,train_3_y384_x384,0.771973491802458,0.7959303584135946,0.6432844910986161,0.483416670489472,0.3549841134638847,0.5961143092105263
consep,full,train_3_y384_x512,0.8062221019888915,0.8274824213180055,0.6904118104127727,0.45591568449682685,0.34712608931143857,0.6458333333333334
consep,full,train_3_y384_x640,0.79601990049807,0.8228606388135745,0.6800695432284493,0.4327088126803258,0.33077946170213024,0.65791015625
consep,full,train_3_y512_x0,0.7533225728913997,0.7338757551428785,0.5778184763865114,0.3820278944066406,0.2124693296666753,0.4355351796407186
consep,full,train_3_y512_x128,0.7981089502530404,0.8050988361357444,0.6123166766221637,0.3162995900785104,0.15059039214178285,0.6251977848101266
consep,full,train_3_y512_x256,0.7933500661220594,0.7987505577872306,0.6012074345421204,0.2930455147133693,0.17315824647660316,0.634765625
consep,full,train_3_y512_x384,0.770256319500427,0.7808558428849253,0.6266157658575225,0.3760500871770487,0.2783769624959378,0.5436938622754491
consep,full,train_3_y512_x512,0.8060726648319494,0.8308181938739403,0.6657296943956015,0.37931665203394793,0.3257072364186667,0.6525621118012422
consep,full,train_3_y512_x640,0.8327660540054137,0.8496824621400838,0.6895850660761803,0.4127959141417627,0.37231202153385784,0.6708603896103896
consep,full,train_3_y640_x0,0.797342486989708,0.7945805152454866,0.6036815733779811,0.28917294506052654,0.13127130230216352,0.623046875
consep,full,train_3_y640_x128,0.8118171330336558,0.8094635121630357,0.6135101969274426,0.29097479136195475,0.0909248510231606,0.575735294117647
consep,full,train_3_y640_x256,0.8195950947895987,0.8037573772524063,0.5877920758568075,0.28180449936628643,0.1467106181921861,0.6981630067567568
consep,full,train_3_y640_x384,0.781450088420692,0.7915628440638826,0.5984377976772778,0.2762165360153823,0.20258338687552757,0.5217599693251533
consep,full,train_3_y640_x512,0.7937020360779494,0.8180408585190336,0.6406541891380613,0.2862491252624213,0.2808296652744957,0.5443181818181818
consep,full,train_3_y640_x640,0.7760454878950354,0.7831032644120413,0.6288670389543017,0.40365904365904365,0.3018722445431505,0.5878452034883721
consep,full,train_6_y0_x0,0.7585700716701556,0.8208144062304477,0.7374356863562979,0.47120949937347095,0.46241220141110395,0.4488811728395062
consep,full,train_6_y0_x128,0.7376094631161451,0.814190345772791,0.7349726775967599,0.5050882390828288,0.47964260017413096,0.47295258620689656
consep,full,train_6_y0_x256,0.7937188623327436,0.8483071181022889,0.7952889619287995,0.5640027797081306,0.5339098893982682,0.5206896551724138
consep,full,train_6_y0_x384,0.8380197589842633,0.8720845481052892,0.8199292426260902,0.6078349307328507,0.5445673877233983,0.53125
consep,full,train_6_y0_x512,0.865903416357512,0.8842587088340143,0.8342597271353354,0.5882547325685691,0.5205948328070853,0.4979779411764706
consep,full,train_6_y0_x640,0.846788990826469,0.8597132970842327,0.801486681809616,0.5108289768483943,0.44498798418341257,0.5170362903225807
consep,full,train_6_y128_x0,0.786890038886101,0.8547315993363178,0.7628941441448117,0.5094812463453345,0.48585757999438833,0.5524284638554217
consep,full,train_6_y128_x128,0.7849691594901084,0.8353198469113304,0.7760715448789397,0.5409891313505771,0.5175465659960949,0.5030120481927711
consep,full,train_6_y128_x256,0.7924407431140537,0.8446554662775607,0.7958737796957994,0.5575254799715572,0.5207295092113353,0.4823863636363636
consep,full,train_6_y128_x384,0.8060681603994586,0.8363499464254254,0.7719912035191624,0.5349157665466506,0.4508324668554027,0.5302083333333333
consep,full,train_6_y128_x512,0.8412197686651394,0.8478337691715039,0.7851758416680626,0.5644626271561256,0.4796577641731843,0.5509599673202614
consep,full,train_6_y128_x640,0.8541610557510493,0.8666797308781327,0.7957395636500273,0.5688665710186513,0.498692215552799,0.5377403846153846
consep,full,train_6_y256_x0,0.8028376248034608,0.8683957258843906,0.7896359971836778,0.5354274022431039,0.47135437281247505,0.5861771472392638
consep,full,train_6_y256_x128,0.8297997644293662,0.8655866120709789,0.7997691493802309,0.5400855450756745,0.5021828529014979,0.5370222929936306
consep,full,train_6_y256_x256,0.8212568261486571,0.8609571395123666,0.7867223502319505,0.5088938626457769,0.465944069021311,0.4837908878504673
consep,full,train_6_y256_x384,0.7823742392736216,0.8190684931513459,0.7171260892771932,0.49459488971391136,0.4035450477555282,0.4673477564102564
