dataset,model,label,predictor,feature_set,cv_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction
consep,prototype_seed123,high_error_ge_q0.75,random_forest::sfrm_features,sfrm_features,group_kfold,504,0.1,51,126,43,0.3412698412698413,0.8431372549019608,3.4126984126984126,0.18322295805739514,0.26710816777041946
consep,prototype_seed123,high_error_ge_q0.75,random_forest::sfrm_features,sfrm_features,group_kfold,504,0.2,101,126,83,0.6587301587301587,0.8217821782178217,3.2936507936507935,0.10669975186104218,0.5732009925558312
consep,prototype_seed123,high_error_ge_q0.75,random_forest::sfrm_features,sfrm_features,group_kfold,504,0.3,152,126,101,0.8015873015873016,0.6644736842105263,2.671957671957672,0.07102272727272728,0.7159090909090908
consep,prototype_seed123,high_error_ge_q0.75,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,504,0.05,26,126,22,0.1746031746031746,0.8461538461538461,3.4920634920634916,0.2175732217573222,0.12970711297071125
consep,prototype_seed123,high_error_ge_q0.75,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,504,0.1,51,126,42,0.3333333333333333,0.8235294117647058,3.333333333333333,0.18543046357615894,0.2582781456953642
consep,prototype_seed123,high_error_ge_q0.75,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,504,0.2,101,126,78,0.6190476190476191,0.7722772277227723,3.0952380952380953,0.11910669975186104,0.5235732009925558
consep,prototype_seed123,high_error_ge_q0.75,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,504,0.3,152,126,101,0.8015873015873016,0.6644736842105263,2.671957671957672,0.07102272727272728,0.7159090909090908
consep,prototype_seed123,high_error_ge_q0.75,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,504,0.05,26,126,21,0.16666666666666666,0.8076923076923077,3.333333333333333,0.2196652719665272,0.12133891213389125
consep,prototype_seed123,high_error_ge_q0.75,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,504,0.1,51,126,41,0.3253968253968254,0.803921568627451,3.253968253968254,0.18763796909492272,0.2494481236203091
consep,prototype_seed123,high_error_ge_q0.75,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,504,0.2,101,126,76,0.6031746031746031,0.7524752475247525,3.0158730158730154,0.12406947890818859,0.5037220843672456
consep,prototype_seed123,high_error_ge_q0.75,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,504,0.3,152,126,101,0.8015873015873016,0.6644736842105263,2.671957671957672,0.07102272727272728,0.7159090909090908
consep,prototype_seed123,high_error_ge_q0.75,random_forest::all_deployable_features,all_deployable_features,group_kfold,504,0.05,26,126,20,0.15873015873015872,0.7692307692307693,3.1746031746031744,0.2217573221757322,0.11297071129707115
consep,prototype_seed123,high_error_ge_q0.75,random_forest::all_deployable_features,all_deployable_features,group_kfold,504,0.1,51,126,41,0.3253968253968254,0.803921568627451,3.253968253968254,0.18763796909492272,0.2494481236203091
consep,prototype_seed123,high_error_ge_q0.75,random_forest::all_deployable_features,all_deployable_features,group_kfold,504,0.2,101,126,80,0.6349206349206349,0.7920792079207921,3.1746031746031744,0.1141439205955335,0.543424317617866
consep,prototype_seed123,high_error_ge_q0.75,random_forest::all_deployable_features,all_deployable_features,group_kfold,504,0.3,152,126,99,0.7857142857142857,0.6513157894736842,2.619047619047619,0.07670454545454546,0.6931818181818181
consep,prototype_seed123,high_boundary_error_ge_q0.75,predefined::global_mean_entropy,predefined_score,none,504,0.05,26,126,25,0.1984126984126984,0.9615384615384616,3.968253968253968,0.2112970711297071,0.15481171548117156
consep,prototype_seed123,high_boundary_error_ge_q0.75,predefined::global_mean_entropy,predefined_score,none,504,0.1,51,126,42,0.3333333333333333,0.8235294117647058,3.333333333333333,0.18543046357615894,0.2582781456953642
consep,prototype_seed123,high_boundary_error_ge_q0.75,predefined::global_mean_entropy,predefined_score,none,504,0.2,101,126,73,0.5793650793650794,0.7227722772277227,2.8968253968253967,0.1315136476426799,0.47394540942928043
consep,prototype_seed123,high_boundary_error_ge_q0.75,predefined::global_mean_entropy,predefined_score,none,504,0.3,152,126,104,0.8253968253968254,0.6842105263157895,2.751322751322751,0.0625,0.75
consep,prototype_seed123,high_boundary_error_ge_q0.75,predefined::global_max_entropy,predefined_score,none,504,0.05,26,126,0,0.0,0.0,0.0,0.26359832635983266,-0.05439330543933063
consep,prototype_seed123,high_boundary_error_ge_q0.75,predefined::global_max_entropy,predefined_score,none,504,0.1,51,126,7,0.05555555555555555,0.13725490196078433,0.5555555555555555,0.26269315673289184,-0.050772626931567366
consep,prototype_seed123,high_boundary_error_ge_q0.75,predefined::global_max_entropy,predefined_score,none,504,0.2,101,126,20,0.15873015873015872,0.19801980198019803,0.7936507936507936,0.2630272952853598,-0.05210918114143914
consep,prototype_seed123,high_boundary_error_ge_q0.75,predefined::global_max_entropy,predefined_score,none,504,0.3,152,126,28,0.2222222222222222,0.18421052631578946,0.7407407407407407,0.2784090909090909,-0.11363636363636354
consep,prototype_seed123,high_boundary_error_ge_q0.75,predefined::global_mean_margin_uncertainty,predefined_score,none,504,0.05,26,126,25,0.1984126984126984,0.9615384615384616,3.968253968253968,0.2112970711297071,0.15481171548117156
consep,prototype_seed123,high_boundary_error_ge_q0.75,predefined::global_mean_margin_uncertainty,predefined_score,none,504,0.1,51,126,43,0.3412698412698413,0.8431372549019608,3.4126984126984126,0.18322295805739514,0.26710816777041946
consep,prototype_seed123,high_boundary_error_ge_q0.75,predefined::global_mean_margin_uncertainty,predefined_score,none,504,0.2,101,126,77,0.6111111111111112,0.7623762376237624,3.055555555555556,0.12158808933002481,0.5136476426799008
consep,prototype_seed123,high_boundary_error_ge_q0.75,predefined::global_mean_margin_uncertainty,predefined_score,none,504,0.3,152,126,105,0.8333333333333334,0.6907894736842105,2.777777777777778,0.05965909090909091,0.7613636363636364
consep,prototype_seed123,high_boundary_error_ge_q0.75,predefined::foreground_area_frac,predefined_score,none,504,0.05,26,126,22,0.1746031746031746,0.8461538461538461,3.4920634920634916,0.2175732217573222,0.12970711297071125
consep,prototype_seed123,high_boundary_error_ge_q0.75,predefined::foreground_area_frac,predefined_score,none,504,0.1,51,126,36,0.2857142857142857,0.7058823529411765,2.8571428571428568,0.1986754966887417,0.20529801324503316
consep,prototype_seed123,high_boundary_error_ge_q0.75,predefined::foreground_area_frac,predefined_score,none,504,0.2,101,126,59,0.46825396825396826,0.5841584158415841,2.341269841269841,0.1662531017369727,0.33498759305210923
consep,prototype_seed123,high_boundary_error_ge_q0.75,predefined::foreground_area_frac,predefined_score,none,504,0.3,152,126,88,0.6984126984126984,0.5789473684210527,2.328042328042328,0.10795454545454546,0.5681818181818181
consep,prototype_seed123,high_boundary_error_ge_q0.75,predefined::boundary_risk_score,predefined_score,none,504,0.05,26,126,25,0.1984126984126984,0.9615384615384616,3.968253968253968,0.2112970711297071,0.15481171548117156
consep,prototype_seed123,high_boundary_error_ge_q0.75,predefined::boundary_risk_score,predefined_score,none,504,0.1,51,126,36,0.2857142857142857,0.7058823529411765,2.8571428571428568,0.1986754966887417,0.20529801324503316
consep,prototype_seed123,high_boundary_error_ge_q0.75,predefined::boundary_risk_score,predefined_score,none,504,0.2,101,126,69,0.5476190476190477,0.6831683168316832,2.738095238095238,0.141439205955335,0.43424317617866004
consep,prototype_seed123,high_boundary_error_ge_q0.75,predefined::boundary_risk_score,predefined_score,none,504,0.3,152,126,93,0.7380952380952381,0.6118421052631579,2.4603174603174605,0.09375,0.625
consep,prototype_seed123,high_boundary_error_ge_q0.75,predefined::boundary_overconfidence_score,predefined_score,none,504,0.05,26,126,3,0.023809523809523808,0.11538461538461539,0.47619047619047616,0.25732217573221755,-0.029288702928870203
consep,prototype_seed123,high_boundary_error_ge_q0.75,predefined::boundary_overconfidence_score,predefined_score,none,504,0.1,51,126,4,0.031746031746031744,0.0784313725490196,0.31746031746031744,0.2693156732891832,-0.07726269315673284
