dataset,model,label,score_a,score_b,hypothesis,budget,n_patches,n_sources,positives,score_a_recall,score_b_recall,recall_diff,bootstrap_ci95_low,bootstrap_ci95_high,ci_excludes_zero,dataset_short,model_family,seed,run_prefix
consep,point_seed7,bad_dice_lt_0.65,logistic_l2::global_features,logistic_l2::sfrm_features,Global features remain competitive for macro-area failures.,0.1,504,14,189,0.21693121693121692,0.20634920634920634,0.010582010582010581,-0.028091865801550864,0.0816326530612245,False,consep,point,7,consep_grid_point_seed7
consep,point_seed123,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,SFRM improves local boundary-error screening over global mean entropy.,0.1,504,14,126,0.23809523809523808,0.1111111111111111,0.12698412698412698,0.0,0.32078669651423075,False,consep,point,123,consep_grid_point_seed123
consep,point_seed123,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,SFRM improves low-boundary-quality screening over global max entropy.,0.1,504,14,126,0.3412698412698413,0.1984126984126984,0.14285714285714288,0.014914557646549849,0.38097402597402585,True,consep,point,123,consep_grid_point_seed123
consep,point_seed123,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for low-boundary-quality screening.,0.1,504,14,126,0.3412698412698413,0.30158730158730157,0.03968253968253971,-0.08824180114523687,0.08511050634999172,False,consep,point,123,consep_grid_point_seed123
consep,point_seed123,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for local boundary-error screening.,0.1,504,14,126,0.23809523809523808,0.1349206349206349,0.10317460317460317,-0.1028800539083558,0.30774336283185816,False,consep,point,123,consep_grid_point_seed123
consep,point_seed123,bad_dice_lt_0.65,logistic_l2::global_features,logistic_l2::sfrm_features,Global features remain competitive for macro-area failures.,0.1,504,14,199,0.18090452261306533,0.18592964824120603,-0.0050251256281406975,-0.05505221324990488,0.09286129568106312,False,consep,point,123,consep_grid_point_seed123
consep,prototype_seed42,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,SFRM improves local boundary-error screening over global mean entropy.,0.1,504,14,126,0.2222222222222222,0.10317460317460317,0.11904761904761904,-0.014722850678733034,0.2783537778937753,False,consep,proto,42,consep_grid_proto_seed42
consep,prototype_seed42,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,Core CoNSeP prototype recall-doubling claim.,0.1,504,14,126,0.31746031746031744,0.15873015873015872,0.15873015873015872,0.0260813343328336,0.29213915298184956,True,consep,proto,42,consep_grid_proto_seed42
consep,prototype_seed42,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for low-boundary-quality screening.,0.1,504,14,126,0.31746031746031744,0.14285714285714285,0.1746031746031746,0.05690289921767143,0.305347628330084,True,consep,proto,42,consep_grid_proto_seed42
consep,prototype_seed42,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for local boundary-error screening.,0.1,504,14,126,0.2222222222222222,0.11904761904761904,0.10317460317460317,-0.030303030303030304,0.1864463276836158,False,consep,proto,42,consep_grid_proto_seed42
consep,prototype_seed42,bad_dice_lt_0.65,logistic_l2::global_features,logistic_l2::sfrm_features,Global features remain competitive for macro-area failures.,0.1,504,14,199,0.2562814070351759,0.20603015075376885,0.05025125628140703,-0.05423130879683114,0.14756125022518451,False,consep,proto,42,consep_grid_proto_seed42
consep,prototype_seed7,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,SFRM improves local boundary-error screening over global mean entropy.,0.1,504,14,126,0.25396825396825395,0.15873015873015872,0.09523809523809523,-0.05973956746877853,0.30394071691176455,False,consep,proto,7,consep_grid_proto_seed7
consep,prototype_seed7,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,SFRM improves low-boundary-quality screening over global max entropy.,0.1,504,14,126,0.2619047619047619,0.1746031746031746,0.08730158730158732,0.0,0.21667452830188674,False,consep,proto,7,consep_grid_proto_seed7
consep,prototype_seed7,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for low-boundary-quality screening.,0.1,504,14,126,0.2619047619047619,0.2698412698412698,-0.007936507936507908,-0.08850092777619184,0.09825892857142834,False,consep,proto,7,consep_grid_proto_seed7
consep,prototype_seed7,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for local boundary-error screening.,0.1,504,14,126,0.25396825396825395,0.1111111111111111,0.14285714285714285,0.06172628107559614,0.24074074074074073,True,consep,proto,7,consep_grid_proto_seed7
consep,prototype_seed7,bad_dice_lt_0.65,logistic_l2::global_features,logistic_l2::sfrm_features,Global features remain competitive for macro-area failures.,0.1,504,14,243,0.17695473251028807,0.205761316872428,-0.028806584362139925,-0.08928820830007983,-0.00307621951219511,True,consep,proto,7,consep_grid_proto_seed7
consep,prototype_seed123,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,SFRM improves local boundary-error screening over global mean entropy.,0.1,504,14,126,0.15873015873015872,0.1746031746031746,-0.015873015873015872,-0.1,0.09837077514673138,False,consep,proto,123,consep_grid_proto_seed123
consep,prototype_seed123,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,SFRM improves low-boundary-quality screening over global max entropy.,0.1,504,14,126,0.31746031746031744,0.1984126984126984,0.11904761904761904,0.01134836265884652,0.26923913043478254,True,consep,proto,123,consep_grid_proto_seed123
consep,prototype_seed123,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for low-boundary-quality screening.,0.1,504,14,126,0.31746031746031744,0.30952380952380953,0.007936507936507908,-0.1028071742715778,0.27436193407720905,False,consep,proto,123,consep_grid_proto_seed123
consep,prototype_seed123,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for local boundary-error screening.,0.1,504,14,126,0.15873015873015872,0.09523809523809523,0.06349206349206349,-0.09579008822003113,0.1613189782217126,False,consep,proto,123,consep_grid_proto_seed123
consep,prototype_seed123,bad_dice_lt_0.65,logistic_l2::global_features,logistic_l2::sfrm_features,Global features remain competitive for macro-area failures.,0.1,504,14,330,0.12424242424242424,0.1484848484848485,-0.02424242424242426,-0.05488150209171994,0.012993463490152202,False,consep,proto,123,consep_grid_proto_seed123
