dataset,model,label,predictor,feature_set,cv_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction,dataset_short,model_family,seed,run_prefix
monuseg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,168,0.3,51,43,32,0.7441860465116279,0.6274509803921569,2.4806201550387597,0.09401709401709402,0.6326774001192605,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,168,0.05,9,43,8,0.18604651162790697,0.8888888888888888,3.7209302325581395,0.22012578616352202,0.13997367266344873,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,168,0.1,17,43,13,0.3023255813953488,0.7647058823529411,3.023255813953488,0.1986754966887417,0.2237794547974742,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,168,0.2,34,43,20,0.46511627906976744,0.5882352941176471,2.325581395348837,0.17164179104477612,0.3293995140576188,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,168,0.3,51,43,28,0.6511627906976745,0.5490196078431373,2.170542635658915,0.1282051282051282,0.4991055456171736,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,168,0.05,9,43,8,0.18604651162790697,0.8888888888888888,3.7209302325581395,0.22012578616352202,0.13997367266344873,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,168,0.1,17,43,13,0.3023255813953488,0.7647058823529411,3.023255813953488,0.1986754966887417,0.2237794547974742,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,168,0.2,34,43,21,0.4883720930232558,0.6176470588235294,2.441860465116279,0.16417910447761194,0.35855605692467885,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,168,0.3,51,43,31,0.7209302325581395,0.6078431372549019,2.4031007751937983,0.10256410256410256,0.5992844364937389,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,168,0.05,9,43,9,0.20930232558139536,1.0,4.186046511627907,0.2138364779874214,0.16454585344449313,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,168,0.1,17,43,14,0.32558139534883723,0.8235294117647058,3.255813953488372,0.19205298013245034,0.24965347297089158,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,168,0.2,34,43,22,0.5116279069767442,0.6470588235294118,2.558139534883721,0.15671641791044777,0.3877125997917389,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,168,0.3,51,43,30,0.6976744186046512,0.5882352941176471,2.3255813953488373,0.1111111111111111,0.5658914728682171,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,168,0.05,9,43,8,0.18604651162790697,0.8888888888888888,3.7209302325581395,0.22012578616352202,0.13997367266344873,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,168,0.1,17,43,13,0.3023255813953488,0.7647058823529411,3.023255813953488,0.1986754966887417,0.2237794547974742,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,168,0.2,34,43,22,0.5116279069767442,0.6470588235294118,2.558139534883721,0.15671641791044777,0.3877125997917389,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,168,0.3,51,43,32,0.7441860465116279,0.6274509803921569,2.4806201550387597,0.09401709401709402,0.6326774001192605,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,168,0.05,9,43,8,0.18604651162790697,0.8888888888888888,3.7209302325581395,0.22012578616352202,0.13997367266344873,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,168,0.1,17,43,13,0.3023255813953488,0.7647058823529411,3.023255813953488,0.1986754966887417,0.2237794547974742,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,168,0.2,34,43,21,0.4883720930232558,0.6176470588235294,2.441860465116279,0.16417910447761194,0.35855605692467885,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,168,0.3,51,43,29,0.6744186046511628,0.5686274509803921,2.248062015503876,0.11965811965811966,0.5324985092426953,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,168,0.05,9,43,9,0.20930232558139536,1.0,4.186046511627907,0.2138364779874214,0.16454585344449313,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,168,0.1,17,43,14,0.32558139534883723,0.8235294117647058,3.255813953488372,0.19205298013245034,0.24965347297089158,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,168,0.2,34,43,24,0.5581395348837209,0.7058823529411765,2.7906976744186043,0.1417910447761194,0.4460256855258591,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,168,0.3,51,43,30,0.6976744186046512,0.5882352941176471,2.3255813953488373,0.1111111111111111,0.5658914728682171,monuseg,point,42,monuseg_point_seed42
